file,region1p1,region1p2,count,r1rank1,r1rank2,SUM
ss__0293_0692979640_115rrs__0090000srlc11360w108cgzj03.csv,1,0,50,0.02,0,0.02
ss__0293_0692980289_265rrs__0090000srlc11360w208cgnj03.csv,0,0,50,0,0,0
ss__0293_0692981070_175rrs__0090000srlc11420w108cgnj06.csv,40,14,1296,0.030864198,0.010802469,0.041666667
ss__0293_0692982000_605rrs__0090000srlc11420b108zpzj03.csv,0,0,2,0,0,0
ss__0293_0692982862_445rrs__0090000srlc16000w1__cgnj03.csv,0,0,1,0,0,0
ss__0304_0693959951_875rrs__0090000srlc11451w108cgnj05.csv,31,10,1296,0.023919753,0.007716049,0.031635802
ss__0304_0693960817_055rrs__0090000srlc11451b108zpzj02.csv,0,0,2,0,0,0
ss__0304_0693961008_675rrs__0090000srlc11372w108cgnj02.csv,0,0,50,0,0,0
ss__0304_0693961658_010rrs__0090000srlc11372w208cgnj02.csv,0,0,50,0,0,0
ss__0304_0693962475_780rrs__0090000srlc11373w108cgnj02.csv,1,0,50,0.02,0,0.02
ss__0304_0693963125_235rrs__0090000srlc11373w208cgnj02.csv,0,0,50,0,0,0
ss__0304_0693963943_980rrs__0090000srlc11374w108cgnj02.csv,3,0,50,0.06,0,0.06
ss__0304_0693964592_870rrs__0090000srlc11374w208cgnj02.csv,1,0,50,0.02,0,0.02
ss__0304_0693965408_820rrs__0090000srlc11375w108cgnj02.csv,2,0,50,0.04,0,0.04
ss__0304_0693966058_170rrs__0090000srlc11375w208cgnj02.csv,1,0,50,0.02,0,0.02
ss__0304_0693967545_515rrs__0090000srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0347_0697773331_495rrs__0092982srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0349_0697951251_495rrs__0092982srlc11360w108cgnj02.csv,0,0,50,0,0,0
ss__0349_0697951900_355rrs__0092982srlc11360w208cgnj02.csv,1,0,50,0.02,0,0.02
ss__0349_0697952686_570rrs__0092982srlc11420w108cgnj07.csv,36,2,1296,0.027777778,0.00154321,0.029320988
ss__0349_0697953530_075rrs__0092982srlc11420b108zpzj02.csv,0,0,2,0,0,0
ss__0349_0697954375_450rrs__0092982srlc16000w1__cgnj02.csv,0,0,1,0,0,0
ss__0368_0699639699_675rrs__0110108srlc15032w2__cgnj02.csv,6,0,50,0.12,0,0.12
ss__0368_0699640348_435rrs__0110108srlc15032w2__cgnj02.csv,4,0,50,0.08,0,0.08
ss__0368_0699641247_560rrs__0110108srlc15051w108cgnj02.csv,3,0,100,0.03,0,0.03
ss__0368_0699641309_715rrs__0110108srlc15051b108zpzj02.csv,0,0,1,0,0,0
ss__0368_0699641563_465rrs__0110108srlc15043w108cgnj08.csv,60,7,1296,0.046296296,0.005401235,0.051697531
